time,geo\hh_type,SING,'MAR0,MAR+,UNM0,UNM+,H1P,OTHR
1991,BruCap,246263,75989,98036,6121,5095,44054,6360
1991,Fla,557046,554965,880325,38991,24785,147780,28348
1991,Wal,384482,274117,450679,27521,26015,120647,18955
1992,BruCap,242368,75046,96480,6719,5593,43537,6292
1992,Fla,563347,562400,877519,42615,26940,149289,27148
1992,Wal,389439,275071,448940,29187,28226,122574,19158
1993,BruCap,243432,74417,95132,7484,6220,43637,6168
1993,Fla,571006,567981,873498,46246,29187,152090,27866
1993,Wal,394258,275726,446173,31171,30723,125291,19282
1994,BruCap,238869,74416,94375,8781,6951,43691,5641
1994,Fla,577013,571758,867501,51174,31857,154880,28184
1994,Wal,394782,275362,442349,34259,33453,127738,19526
1995,BruCap,236871,74317,94037,9585,7498,43642,5639
1995,Fla,586122,577144,859552,56130,34398,158131,28513
1995,Wal,397818,275882,437342,37157,35784,130434,19920
1996,BruCap,235983,72847,92686,10182,7909,43668,5932
1996,Fla,597123,581802,850463,60907,36853,161140,28698
1996,Wal,403028,275803,430858,39458,37889,133585,20270
1997,BruCap,236874,72071,91718,10700,8289,44464,6025
1997,Fla,611451,586656,841282,65450,39382,164384,29022
1997,Wal,410586,275931,424620,41240,40171,136981,20334
1998,BruCap,237930,70893,90766,11536,8795,45099,6458
1998,Fla,625826,590905,830165,70826,42273,168470,29068
1998,Wal,419518,275988,417576,43316,42644,140665,20372
1999,BruCap,237970,69516,89784,12432,9370,45856,6839
1999,Fla,640206,593339,817812,77399,46642,172138,29455
1999,Wal,428203,275535,410483,45942,45453,144085,20382
2000,BruCap,237212,68579,89498,13375,10182,46395,7293
2000,Fla,654357,594633,805047,83958,51549,175912,30292
2000,Wal,436571,276074,402855,48529,49019,146948,20462
2001,BruCap,237878,67903,88727,14247,10677,47349,8029
2001,Fla,669236,596615,791174,90678,57339,179011,31812
2001,Wal,446818,276193,394993,50123,52185,150934,21041
2002,BruCap,241994,66859,88895,15052,11654,48715,8565
2002,Fla,682478,597985,776911,98623,64448,183538,32679
2002,Wal,458309,276194,386719,52118,55588,156090,21216
2003,BruCap,244771,66376,88963,15918,12358,50079,9364
2003,Fla,698383,599702,762360,105570,72208,188098,33825
2003,Wal,469780,275540,378243,53974,59157,161381,21655
2004,BruCap,245662,65926,89033,16242,12855,51306,10013
2004,Fla,713852,601806,747516,111252,80062,193526,34329
2004,Wal,482276,274733,369524,55848,62717,167570,22180
2005,BruCap,245482,65300,89409,16706,13340,52311,10511
2005,Fla,726291,604900,733954,116778,89365,197589,34969
2005,Wal,492257,274475,361634,58156,67066,172212,22621
2006,BruCap,246624,64828,90277,17477,13851,53669,11062
2006,Fla,739877,608155,722117,121992,99184,201081,35578
2006,Wal,500758,274230,354992,60383,71828,176318,23161
2007,BruCap,247689,64029,91419,17912,14759,54734,11723
2007,Fla,753495,612213,711025,126851,109064,203672,36459
2007,Wal,509323,274184,349596,62621,77226,178787,23529
2008,BruCap,250976,63523,92806,18792,15777,55418,12352
2008,Fla,767023,617804,699971,132641,119503,205509,37598
2008,Wal,516428,274261,344038,65646,83014,180111,24224
2009,BruCap,251731,63515,94792,19836,17029,56063,12115
2009,Fla,780581,621987,689481,137302,130429,208412,36884
2009,Wal,521412,273784,337982,68558,89304,181927,23795
2010,BruCap,254173,62709,96783,20842,18201,57186,12674
2010,Fla,795387,623066,679864,140918,140770,212206,37523
2010,Wal,529776,272816,332894,70960,95495,183862,24188
2011,BruCap,256463,61907,99248,22270,20030,58502,13455
2011,Fla,802915,626511,672723,145778,151813,214168,38385
2011,Wal,531337,272906,329672,74287,102451,184299,24461
2012,BruCap,258055,60646,101498,23126,20819,59616,14593
2012,Fla,816111,627678,664850,148874,161246,216798,39642
2012,Wal,536529,271704,325142,77192,108428,185708,25120
2013,BruCap,257130,59587,103098,23850,21675,60506,15852
2013,Fla,824952,629398,659316,150236,167367,219040,41109
2013,Wal,538932,269923,321716,79038,114254,186052,25823
2014,BruCap,252668,58001,103791,24843,22685,61867,16585
2014,Fla,834322,628011,651116,154401,175772,221880,42221
2014,Wal,542509,267088,316802,81420,120104,187677,26339
2015,BruCap,252404,56694,104484,25463,23805,62690,17130
2015,Fla,848714,631210,641297,160191,182845,223582,43480
2015,Wal,545435,265425,311700,83982,125750,189343,26677
2016,BruCap,251574,56041,105326,26263,25016,63328,17846
2016,Fla,857368,631174,635007,164189,189901,225812,44568
2016,Wal,548776,263777,306730,87366,131704,189463,26955
