time,geo,age,sex\nat,BE,FO
1991,BruCap,0,M,4182,2377
1991,BruCap,0,F,4052,2188
1991,BruCap,1,M,3904,2316
1991,BruCap,1,F,3769,2241
1991,BruCap,2,M,3790,2365
1991,BruCap,2,F,3500,2318
1991,BruCap,3,M,3569,2296
1991,BruCap,3,F,3360,2232
1991,BruCap,4,M,3499,2284
1991,BruCap,4,F,3225,2196
1991,BruCap,5,M,3239,2280
1991,BruCap,5,F,2995,2106
1991,BruCap,6,M,3298,2283
1991,BruCap,6,F,3105,2203
1991,BruCap,7,M,3155,2274
1991,BruCap,7,F,3101,2096
1991,BruCap,8,M,3144,2349
1991,BruCap,8,F,2999,2278
1991,BruCap,9,M,3252,2489
1991,BruCap,9,F,3112,2322
1991,BruCap,10,M,3213,2411
1991,BruCap,10,F,3142,2355
1991,BruCap,11,M,3136,2450
1991,BruCap,11,F,2963,2255
1991,BruCap,12,M,2997,2339
1991,BruCap,12,F,3033,2312
1991,BruCap,13,M,2974,2305
1991,BruCap,13,F,2944,2254
1991,BruCap,14,M,2946,2244
1991,BruCap,14,F,2913,2140
1991,BruCap,15,M,3036,2191
1991,BruCap,15,F,2986,1990
1991,BruCap,16,M,3021,2262
1991,BruCap,16,F,2966,2026
1991,BruCap,17,M,3306,2177
1991,BruCap,17,F,3251,2127
1991,BruCap,18,M,3504,2285
1991,BruCap,18,F,3421,2262
1991,BruCap,19,M,3785,2334
1991,BruCap,19,F,3682,2385
1991,BruCap,20,M,3926,2493
1991,BruCap,20,F,3953,2432
1991,BruCap,21,M,3934,2540
1991,BruCap,21,F,4040,2531
1991,BruCap,22,M,4286,2593
1991,BruCap,22,F,4335,2505
1991,BruCap,23,M,4570,2575
1991,BruCap,23,F,4826,2536
1991,BruCap,24,M,4772,2859
1991,BruCap,24,F,5208,2824
1991,BruCap,25,M,5215,2965
1991,BruCap,25,F,5440,2893
1991,BruCap,26,M,5360,3099
1991,BruCap,26,F,5761,2970
1991,BruCap,27,M,5467,3023
1991,BruCap,27,F,5503,2875
1991,BruCap,28,M,5190,3170
1991,BruCap,28,F,5275,2888
1991,BruCap,29,M,5095,3040
1991,BruCap,29,F,5377,2861
1991,BruCap,30,M,5063,3108
1991,BruCap,30,F,5292,2916
1991,BruCap,31,M,5074,2915
1991,BruCap,31,F,5148,2669
1991,BruCap,32,M,4722,2874
1991,BruCap,32,F,5101,2616
1991,BruCap,33,M,4747,2653
1991,BruCap,33,F,4929,2437
1991,BruCap,34,M,4487,2736
1991,BruCap,34,F,4891,2426
1991,BruCap,35,M,4475,2609
1991,BruCap,35,F,4713,2351
1991,BruCap,36,M,4502,2485
1991,BruCap,36,F,4692,2200
1991,BruCap,37,M,4452,2408
1991,BruCap,37,F,4752,2128
1991,BruCap,38,M,4299,2497
1991,BruCap,38,F,4746,2134
1991,BruCap,39,M,4273,2166
1991,BruCap,39,F,4697,1828
1991,BruCap,40,M,4200,2257
1991,BruCap,40,F,4729,1969
1991,BruCap,41,M,4222,2015
1991,BruCap,41,F,4709,1695
1991,BruCap,42,M,4301,2031
1991,BruCap,42,F,4792,1687
1991,BruCap,43,M,4405,1962
1991,BruCap,43,F,5009,1575
1991,BruCap,44,M,4524,1824
1991,BruCap,44,F,4953,1532
1991,BruCap,45,M,3787,1591
1991,BruCap,45,F,4293,1406
1991,BruCap,46,M,4000,1666
1991,BruCap,46,F,4541,1387
1991,BruCap,47,M,3883,1549
1991,BruCap,47,F,4305,1337
1991,BruCap,48,M,3301,1558
1991,BruCap,48,F,3729,1255
1991,BruCap,49,M,2956,1342
1991,BruCap,49,F,3421,1141
1991,BruCap,50,M,3341,1666
1991,BruCap,50,F,3739,1426
1991,BruCap,51,M,3537,1485
1991,BruCap,51,F,4138,1217
1991,BruCap,52,M,3542,1539
1991,BruCap,52,F,4101,1136
1991,BruCap,53,M,3558,1387
1991,BruCap,53,F,4091,1117
1991,BruCap,54,M,3437,1428
1991,BruCap,54,F,4051,1133
1991,BruCap,55,M,3500,1275
1991,BruCap,55,F,4151,1149
1991,BruCap,56,M,3683,1264
1991,BruCap,56,F,4253,1022
1991,BruCap,57,M,3700,1209
1991,BruCap,57,F,4438,907
1991,BruCap,58,M,3976,1240
1991,BruCap,58,F,4701,942
1991,BruCap,59,M,3999,1035
1991,BruCap,59,F,4828,866
1991,BruCap,60,M,3951,1130
1991,BruCap,60,F,5178,921
1991,BruCap,61,M,3877,1003
1991,BruCap,61,F,4934,726
1991,BruCap,62,M,3811,927
1991,BruCap,62,F,4892,740
1991,BruCap,63,M,3744,840
1991,BruCap,63,F,4929,637
1991,BruCap,64,M,3845,779
1991,BruCap,64,F,5097,645
1991,BruCap,65,M,3875,711
1991,BruCap,65,F,5261,581
1991,BruCap,66,M,4014,553
1991,BruCap,66,F,5404,517
1991,BruCap,67,M,3832,593
1991,BruCap,67,F,5638,525
1991,BruCap,68,M,3838,497
1991,BruCap,68,F,5615,471
1991,BruCap,69,M,4026,463
1991,BruCap,69,F,5757,411
1991,BruCap,70,M,3920,426
1991,BruCap,70,F,5894,478
